Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,18.41666667,19,15.70833333,11.5,10.75,10,9.5,8.583333333,8.125,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Algeria,DZA,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,-7.902165938,-4.049207359,8.136645382,15.1040086,-0.095922627,-10.334378,1.375406936,7.112828503,-0.75036145,-3.092518538,-3.8817475,-2.510519977,0.844558435,-6.183124664,16.59761447,-6.539563572,-7.620226489,-0.002265262,7.044358287,6.4559998,13.66835056,7.08263567,2.91790628,1.728749772,7.054714548,13.33987672,-6.84242363,-12.16031645,7.084596921,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,20.6,24.38,26.23,27.74,31.84,28.308,25.43,26.853,28.548,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,12.137,12.259,14.057,13.63,12.346,11.701,11.427
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2445.183327,1759.112016,1802.693008,1831.04801,1525.540618,1466.948068,1616.831987,1628.761006,1603.366232,1596.118222,1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795,..
Algeria,DZA,Bank regulatory capital to risk-weighted assets (%),GFDD.SI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.200001,23.636416,23.774606,23.615797,21.487501,15.791741,18.401118,18.75188,19.376087,19.048988,..,..,..
Algeria,DZA,Bank non-performing loans to gross loans (%),GFDD.SI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.1,18.31,14.398306,11.726381,10.563971,9.9349605,9.7673454,12.089159,12.958502,12.697401,..,..,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580049644,-0.147212941,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.044726524,1.00128936,..
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,83.78378378,299.5098039,1378.527607,949.7925311,2666.450593,4145.105982,219.1767212,107.2848215,248.1959024,324.9968716,152.5610225,108.8974361,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.355972155,30.69441508,29.8444799,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,13.64410178,28.24049489
Angola,AGO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.24010831,21.0984099,17.00068506,14.93527049,15.34092156,13.72462233,10.41072534,8.628866782,9.558206577,..
Angola,AGO,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,36.48713008,27.57757409,22.61548357,24.43704292,22.84935465,17.28055589,21.13571366,16.04988274,13.50836712,13.55364847,13.29981889,16.27332574,20.44687119,31.52050417,45.60816811,34.77475247,34.97887159,31.5177312,33.33154741,35.6755532,40.94465992,39.16230806,32.18652109,30.64644052,33.69273393,40.06994844,25.862961,21.76057945,25.23496312,..
Angola,AGO,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-2.097151902,-5.465973,-8.844399594,-11.58835844,-7.656048282,-5.326960766,43.39867365,-11.55199269,-28.69757314,-27.79833119,8.715063512,-16.01295133,-0.981927174,-4.039582406,2.892476196,13.89709888,20.4078078,16.21239749,8.125542605,-10.76938373,8.957042175,11.70468355,10.80895744,6.154696197,-2.756200429,-11.35165551,-5.84742399,-0.858821844,9.317233974,7.246181247,1.797710856,12.62978006,11.26715328,4.933699785,..
Angola,AGO,Total reserves in months of imports,FI.RES.TOTL.MO,..,..,..,..,..,0.636881119,1.115016534,0.755373853,0.424868939,0.830557758,1.928916475,1.060512986,0.515950491,0.722048941,1.258357355,1.997942205,4.324699671,3.891573438,3.744809286,3.361138203,5.410918331,6.030560288,6.614946281,6.288486304,5.146290922,6.482045691,9.083871205,5.818186918,5.412640154,6.42509429,8.026147723,6.949154146,4.376832867,5.089271136,..
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,85.68411475,84.87860559,287.5681527,326.5244973,581.1185947,241.05758,180.8988307,147.8061753,194.7476257,223.2478613,131.0754866,119.0076084,66.80154791,56.66089447,46.53163873,37.15351354,21.43832044,20.70807101,20.84441963,31.94074681,35.39116131,33.96878333,30.74467961,35.31417081,35.96019823,56.78015518,114.8450947,84.94048327,84.28436258,96.59472679,148.1598993,108.1380961,62.72993712,74.3004618,..
Angola,AGO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,206.25,217.875,37.75,45,80.29666667,103.1601742,95.96656083,97.33583333,96.115,82.33416667,67.71813074,19.51081445,17.6988356,12.53360576,15.68207424,22.54357202,18.75724054,16.65640132,15.8086383,16.38227094,16.8818624,15.78050394,15.80610038,20.67700403,19.29536721,19.65589493,19.40315463,20.11721138,16.92086152,19.39915532
Angola,AGO,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,-84.09500018,-93.51345888,-29.52270655,4.047558877,-72.57850016,-60.78132704,-5.032933217,-33.5534011,1.128485451,36.63763102,17.80088858,2.045114379,12.83731632,-5.723724308,38.97771355,-7.353793454,-9.876356841,8.764706246,12.61080218,12.38052977,21.14418153,-4.922003097,-5.552697982,-5.844003353,0.090918787,8.028656853,-13.98937224,5.634142895,-0.594013727,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,16.855,16.978,17.399,17.4,16.987,16.275,16.172,16.371,16.593,16.682,16.7,16.488,16.498,16.378,16.36,16.206,16.153,16.228,16.431,16.618,16.77,16.562,16.492,16.406,16.49,16.575,16.61,16.594,16.497,16.69,15.799,14.602,14.537,14.464
